1719523083747756507,52
1719523085129961993,2739
1719523085140046390,2539
1719523085149356986,2539
1719523085160327326,2539
1719523085171364764,2539
1719523085183267663,2539
1719523085258668362,1157020
1719523085273202717,724413
1719523085284414510,651888
1719523085295387759,651888
1719523085306465967,598786
1719523085319937842,598786
1719523085330051780,598786
1719523085340095835,578393
1719523085350721268,557769
1719523085361859667,557974
1719523085372968023,557769
1719523085384293752,557769
1719523085395290919,557769
1719523085406257812,557769
1719523085417516056,554177
1719523085428723775,550429
1719523085439721751,550634
1719523085451013491,550429
1719523085461877989,550429
1719523085473198029,550429
1719523085484117667,550429
1719523085495408140,550429
1719523085506326618,550429
1719523085517412743,550429
1719523085527977046,550634
1719523085538967498,550429
1719523085550115133,550429
1719523085562648449,550429
1719523085574567108,550429
1719523085587274016,459673
1719523085598361861,450802
1719523085608181508,408990
1719523085617411236,405980
1719523085629899843,409459
1719523085639844241,409287
1719523085651812485,410609
1719523085662190832,410266
1719523085673543418,408321
1719523085685646828,412386
1719523085697130435,412733
1719523085707794511,412799
1719523085718420997,411377
1719523085730161721,409759
1719523085740261154,411141
1719523085751567037,394998
1719523085762982892,395796
1719523085774616100,393488
1719523085784784362,396282
1719523085796745025,397028
1719523085808238653,396368
1719523085844492257,386481
1719523085854521738,392616
1719523085865095962,393543
1719523085875521820,388146
1719523085885392118,392161
1719523085896789511,393051
1719523085907064792,368589
1719523085918572220,373464
1719523085930101818,351060
1719523085940196439,356730
1719523085951476192,356250
1719523085963358295,351316
1719523085974004336,358189
1719523085984733561,357921
1719523085997019901,355211
1719523086007689468,360247
1719523086018418661,355283
1719523086029423804,360937
1719523086041320492,362215
1719523086051949509,356941
1719523086062884407,359505
1719523086073542393,353905
1719523086086877452,363823
1719523086096447543,362037
1719523086106512840,356515
1719523086118513228,363851
1719523086130108989,364901
1719523086141320107,358475
1719523086151296630,363918
1719523086162853290,358960
1719523086174429451,363086
1719523086184817414,357541
1719523086195717476,363307
1719523086207633183,363783
1719523086218762752,342010
1719523086229390620,342967
1719523086240597084,337481
1719523086252522068,330269
1719523086262333232,325595
1719523086273342659,347988
1719523086286038796,325410
1719523086296397252,333991
1719523086307398900,327120
1719523086318535144,332649
1719523086330427222,323826
1719523086341445802,351299
1719523086352000363,329033
1719523086362193947,334796
1719523086374310555,330104
1719523086385917503,335382
1719523086395657688,329918
1719523086406567588,335326
