lambda_range,y_values
3.1622776601683795e-05,590.6741114788167
3.7778210251918655e-05,582.6141858342482
4.513181077724146e-05,584.2068401371632
5.39168036402487e-05,586.4208382066079
6.44118120837078e-05,591.8448129286544
7.694969389486882e-05,599.1621357657461
9.192809826276758e-05,599.4189495212687
0.00010982207754789484,595.8569086190818
0.0001311991539568342,605.6857239886447
0.00015673731897379356,612.6626925816524
0.0001872465364157405,613.3611261715758
0.00022369443109814525,621.1694614137962
0.00026723697784839965,634.8328892473402
0.0003192551641941084,648.8268901440154
0.0003813987895134308,665.3531130582797
0.00045563878977339557,687.5691163999435
0.0005443297473781149,713.0515292879442
0.0006502845686779208,744.5772481178418
0.0007768636975977831,770.6842050680843
0.0009280816948682901,801.3260958451747
0.0011087345631067829,824.156239269091
0.001324551855967859,834.1489775801874
0.0015823783956295115,905.1530771035348
0.0018903913619338023,1072.286073706499
0.002258359638341923,1151.6756028235925
0.002697953640073002,1376.289898559622
0.003223115450879796,1756.1182945266519
0.0038505010076522214,2520.297667981275
0.004600008357095524,3007.0486892922518
0.005495408738576248,3885.702170183447
