lambda_range,y_values
3.1622776601683795e-05,1827.6504692404428
4.298662347082281e-05,1832.0921439944716
5.843414133735175e-05,1835.2652945134953
7.943282347242822e-05,1839.5418714335551
0.00010797751623277094,1851.4175016751738
0.00014677992676220705,1868.2750338481048
0.0001995262314968881,1889.8071569443412
0.000271227257933203,1922.3975892206986
0.0003686945064519577,1964.4084120132386
0.0005011872336272725,2018.9415201505537
0.001,2196.84269223824
0.0011659144011798323,2250.166186048762
0.0013593563908785254,2308.4576190391163
0.001584893192461114,2374.261381239723
0.0018478497974222907,2449.5036638363144
0.0021544346900318843,2537.7867775231903
0.0025118864315095794,2665.2453859843204
0.0029286445646252374,2905.612264233635
0.003414548873833601,3959.791079044182
0.003981071705534973,316080.37641819596
