lambda_range,y_values
3.1622776601683795e-05,2084.863695986993
3.7778210251918655e-05,2092.677715892666
4.513181077724146e-05,2092.2614942036407
5.39168036402487e-05,2101.4544740625006
6.44118120837078e-05,2116.343383864309
7.694969389486882e-05,2121.245150991538
9.192809826276758e-05,2121.675992280615
0.00010982207754789484,2118.1902108895147
0.0001311991539568342,2134.316001973149
0.00015673731897379356,2140.6511655777467
0.0001872465364157405,2158.1453895530044
0.00022369443109814525,2168.3906379723217
0.00026723697784839965,2209.7719552124527
0.0003192551641941084,2222.4828114731718
0.0003813987895134308,2259.3371709210287
0.00045563878977339557,2314.984283682792
0.0005443297473781149,2356.3394376362776
0.0006502845686779208,2414.0893266613853
0.0007768636975977831,2503.433737756575
0.0009280816948682901,2614.8900145550615
0.0011087345631067829,2782.8966610466982
0.001324551855967859,3098.400914189393
0.0015823783956295115,3932.982680151382
0.0018903913619338023,4752.455932350717
0.002258359638341923,5514.914744786671
0.002697953640073002,7284.912011087147
0.003223115450879796,9991.37509017937
0.0038505010076522214,15083.175528126993
0.004600008357095524,26726.077983783227
0.005495408738576248,59627.51695757968
