lambda_range,y_values
3.1622776601683795e-05,6885.679972958725
5.43945709563524e-05,6897.794575836759
9.35645021559589e-05,6898.331710794761
0.0001609409893262536,6911.511606191183
0.0002768357811826778,7178.716468363169
0.00047618726630085397,7428.948634575327
0.0008190932242152977,7883.3664085883665
0.0014089282881653753,8449.112358986744
0.002423507926212364,10017.441779223203
0.004168693834703355,14341.859071491917
0.004570881896148752,16216.380103502428
0.004823178482239309,17525.48612153342
0.0050894009515180935,19661.64674089905
0.005370317963702527,24670.179657102344
0.005666740605819913,42416.78004664047
0.005979524734045521,116094.33916810008
0.006309573444801936,178527.53776226667
0.006657839682254362,317948.2575195875
0.0070253289897305215,457985.7650587385
0.007413102413009177,611123.6211698803
