lambda_range,y_values
3.1622776601683795e-05,7554.4207941754485
4.910334874600314e-05,7546.194096356812
7.624690546443757e-05,7595.858283969402
0.00011839499222293017,7548.899803533309
0.00018384187657301805,7556.589503658394
0.0002854667663497933,7542.697529414372
0.00044326829234600865,7591.470513702341
0.0006883000130340359,7720.568207397892
0.0010687814042265092,8117.110767694239
0.0016595869074375613,9453.50638254559
0.0018197008586099826,10151.431153820995
0.0019250607728685688,10842.72978828356
0.002036520981843211,12203.436817614249
0.002154434690031882,14386.89553194003
0.0022791755523244236,19246.75356543638
0.0024111388580716105,34928.93338204154
0.002550742783711359,172408.86116108607
0.002698429717921427,638545.7987852755
0.002854667663497933,1130235.656366195
0.003019951720402016,1592267.0587887068
