lambda_range,y_values
3.1622776601683795e-05,25841.89184392812
5.011872336272725e-05,25864.644335131943
7.943282347242822e-05,25880.952863155697
0.00012589254117941674,25894.20656347392
0.00019952623149688788,25911.802816108648
0.00031622776601683794,25958.862382630232
0.0005011872336272725,26032.080698519967
0.0007943282347242813,26149.36195658748
0.0012589254117941662,26368.167181044293
0.001995262314968879,27057.369014478747
0.00223872113856834,31793.9441324963
0.0023562546370004683,37216.06845942808
0.0024799586776299734,43043.63990834915
0.0026101572156825357,47845.83089375384
0.0027471912141256013,51367.16307467235
0.0028914195365796792,53511.68383508378
0.003043219887107722,54733.85351869378
0.0032029897993437473,56966.682549555764
0.0033711476775509616,64201.9152342902
0.0035481338923357532,259988.8013592641
