lambda_range,y_values
3.1622776601683795e-05,15418.336374704353
5.011872336272725e-05,15433.59336451948
7.943282347242822e-05,15620.861098350151
0.00012589254117941674,15953.384478691567
0.00019952623149688788,16340.481755959918
0.00031622776601683794,16937.513402110497
0.0005011872336272725,17751.868282126256
0.0007943282347242813,19350.913240153845
0.0012589254117941662,22605.877295096103
0.001995262314968879,30472.341850186727
0.00223872113856834,34172.12273468197
0.0023562546370004683,36451.93606990409
0.0024799586776299734,38741.26841568245
0.0026101572156825357,42168.83305521281
0.0027471912141256013,46096.64181129746
0.0028914195365796792,51149.50575903557
0.003043219887107722,58168.93787178869
0.0032029897993437473,67521.37454384718
0.0033711476775509616,86922.3709424818
0.0035481338923357532,424629.95715111104
