lambda_range,y_values
3.1622776601683795e-05,4762.968069826542
5.011872336272725e-05,4769.857557730894
7.943282347242822e-05,4819.671857118855
0.00012589254117941674,4983.868986288033
0.00019952623149688788,5056.737404979246
0.00031622776601683794,5261.6561444673625
0.0005011872336272725,5565.193398545936
0.0007943282347242813,6025.782448657692
0.0012589254117941662,7074.012253522596
0.001995262314968879,9669.37918315092
0.00223872113856834,10890.529345297577
0.0023562546370004683,11624.192123690738
0.0024799586776299734,12383.860730889031
0.0026101572156825357,13547.044718788613
0.0027471912141256013,14872.121310513476
0.0028914195365796792,16589.83593127462
0.003043219887107722,18881.429679214132
0.0032029897993437473,21894.334034615575
0.0033711476775509616,28641.920935993425
0.0035481338923357532,202350.91647401836
