lambda_range,y_values
3.1622776601683795e-05,328.5270704481006
4.524343346616749e-05,336.6713943595599
6.473082037010396e-05,348.0441158331968
9.261187281287937e-05,367.81202242595697
0.00013250193550567484,402.3415301915314
0.00018957356524063754,467.8989644173745
0.000271227257933203,604.9344141429103
0.0003880510732210184,947.1092020221477
0.0005551935914386209,1781.6094130423255
0.0007943282347242813,4063.394904122955
0.001584893192461114,12118.649671895917
0.0017003029792655112,13116.736388348287
0.0018241167512429114,13871.125449731213
0.0019569464752701594,15118.017552093817
0.002099448680827512,16267.965687690881
0.002252327704987382,17027.348706323646
0.002416339173698772,19313.924258103158
0.0025922937365741696,20226.676026611876
0.0027810610736385814,22192.30521957658
0.002983574193844637,24156.574458620886
0.0032008340465997645,26677.09403265449
0.003433914469098581,29410.804869826963
0.0036839674939133276,33821.8372397918
0.003952229043075921,37655.49387355943
0.004240025036795372,45635.41983877926
0.004548777947003778,58498.488084159675
0.004880013828122707,76095.56649271301
0.005235369859800508,119601.28996365408
0.005616602438901618,192439.08342599985
0.006025595860743574,324389.3265808575
