lambda_range,y_values
3.1622776601683795e-05,866.8878750197979
3.7778210251918655e-05,846.8911759131777
4.513181077724146e-05,865.3540884749364
5.39168036402487e-05,871.3547673192218
6.44118120837078e-05,865.5083298827664
7.694969389486882e-05,866.5215214596332
9.192809826276758e-05,838.8734411817277
0.00010982207754789484,854.8803151013793
0.0001311991539568342,859.5786418152329
0.00015673731897379356,874.0281092071671
0.0001872465364157405,874.5533812953878
0.00022369443109814525,870.5314773785207
0.00026723697784839965,887.9990186306537
0.0003192551641941084,888.1910507110988
0.0003813987895134308,893.0682879058577
0.00045563878977339557,905.233261705923
0.0005443297473781149,916.5198422914809
0.0006502845686779208,930.4093942192139
0.0007768636975977831,952.2372982423685
0.0009280816948682901,973.677232737695
0.0011087345631067829,1002.214128458995
0.001324551855967859,1042.9069235030252
0.0015823783956295115,1100.8656709126276
0.0018903913619338023,1179.209619134758
0.002258359638341923,1303.4983405418352
0.002697953640073002,1506.913048354844
0.003223115450879796,1847.8110032144996
0.0038505010076522214,2443.813950531758
0.004600008357095524,3654.0068340605394
0.005495408738576248,6060.283366401471
