lambda_range,y_values
3.1622776601683795e-05,12602.905075168677
5.011872336272725e-05,12653.297103954592
7.943282347242822e-05,12692.87391855246
0.00012589254117941674,12681.393381352209
0.00019952623149688788,12741.834039386062
0.00031622776601683794,12750.388341045938
0.0005011872336272725,12814.686458256921
0.0007943282347242813,12923.662560855399
0.0012589254117941662,13146.139385709184
0.001995262314968879,13664.220009452532
0.00223872113856834,13995.908540581635
0.0023562546370004683,14235.325176929411
0.0024799586776299734,14657.492508144182
0.0026101572156825357,15296.204783243851
0.0027471912141256013,16124.768521713788
0.0028914195365796792,16946.192062670543
0.003043219887107722,17612.02277508167
0.0032029897993437473,18482.363796318292
0.0033711476775509616,21301.946677701806
0.0035481338923357532,110724.50870380897
