lambda_range,y_values
3.1622776601683795e-05,2204.943390412351
5.43945709563524e-05,2211.819259462174
9.35645021559589e-05,2226.878699587546
0.0001609409893262536,2249.3893178276426
0.0002768357811826778,2296.771727398239
0.00047618726630085397,2404.786424241974
0.0008190932242152977,2547.3432063989085
0.0014089282881653753,2750.0168553575522
0.002423507926212364,3280.8419155519996
0.004168693834703355,4817.334198826984
0.004570881896148752,5494.301901305464
0.004823178482239309,5979.15868244322
0.0050894009515180935,6727.403390208683
0.005370317963702527,8459.231404513452
0.005666740605819913,13451.404056150632
0.005979524734045521,38651.25138806396
0.006309573444801936,68301.67945025911
0.006657839682254362,141783.99593712486
0.0070253289897305215,219269.01405379892
0.007413102413009177,302851.45231826097
