lambda_range,y_values
3.1622776601683795e-05,1028.757672542678
3.7778210251918655e-05,1064.8719519337787
4.513181077724146e-05,1044.510276592097
5.39168036402487e-05,1063.3530900046119
6.44118120837078e-05,1085.889315755444
7.694969389486882e-05,1185.4841045843466
9.192809826276758e-05,1261.4801156591814
0.00010982207754789484,1298.7224937937685
0.0001311991539568342,1468.197155149536
0.00015673731897379356,1485.1412535174134
0.0001872465364157405,1574.075371910996
0.00022369443109814525,1650.1750614247073
0.00026723697784839965,1782.8807601040196
0.0003192551641941084,1874.4723304242048
0.0003813987895134308,1992.6752331728417
0.00045563878977339557,2167.997000947903
0.0005443297473781149,2476.455852637536
0.0006502845686779208,2722.904393768861
0.0007768636975977831,2861.937763930568
0.0009280816948682901,3032.646134704639
0.0011087345631067829,3178.0937554881157
0.001324551855967859,3301.9298168632513
0.0015823783956295115,3920.9288102463697
0.0018903913619338023,5070.792748025181
0.002258359638341923,5451.055601605398
0.002697953640073002,6823.009233798586
0.003223115450879796,8530.84422144533
0.0038505010076522214,10410.460517342925
0.004600008357095524,14420.59603500101
0.005495408738576248,22714.40399312577
