lambda_range,y_values
3.1622776601683795e-05,839.0320706521121
4.524343346616749e-05,881.8627338604196
6.473082037010396e-05,957.4231951131203
9.261187281287937e-05,1106.3710002442272
0.00013250193550567484,1350.9651393507206
0.00018957356524063754,1827.209119141539
0.000271227257933203,2776.656735134625
0.0003880510732210184,5115.882202025181
0.0005551935914386209,12083.180059301429
0.0007943282347242813,46194.68782815544
0.001584893192461114,180013.74578452183
0.0017003029792655112,195737.52279627477
0.0018241167512429114,201512.27143845073
0.0019569464752701594,222367.14349831353
0.002099448680827512,237203.23531955067
0.002252327704987382,239934.49098330364
0.002416339173698772,287163.6810661716
0.0025922937365741696,285491.37844136974
0.0027810610736385814,313924.0381409439
0.002983574193844637,339585.9378892109
0.0032008340465997645,362213.93350248074
0.003433914469098581,393270.9287936534
0.0036839674939133276,445410.92535263475
0.003952229043075921,473491.7464461306
0.004240025036795372,561229.0151711709
0.004548777947003778,661018.0758168269
0.004880013828122707,782166.0460845394
0.005235369859800508,1100602.0033321606
0.005616602438901618,1490003.2143246643
0.006025595860743574,2090065.5500723496
