lambda_range,y_values
3.1622776601683795e-05,11720.728864513887
4.524343346616749e-05,11842.34562649018
6.473082037010396e-05,11930.188993208798
9.261187281287937e-05,11926.915747965502
0.00013250193550567484,11903.685521885285
0.00018957356524063754,12020.25056701538
0.000271227257933203,12132.236800246217
0.0003880510732210184,12227.024276812177
0.0005551935914386209,12393.317012877378
0.0007943282347242813,12622.016771227485
0.0012589254117941675,13045.213611147907
0.0015058363542798416,13253.372488487421
0.001801173528334133,13512.300226852778
0.0021544346900318843,13784.328926500024
0.0025769803745148774,14127.751407839833
0.0030823992397451434,14473.299616573266
0.0036869450645195733,14817.437212174433
0.004410059454176736,15108.786494841095
0.00527499706370262,15521.00541029069
0.00630957344480193,523076.2987398179
