lambda_range,y_values
3.1622776601683795e-05,6192.121584198343
4.190079105786665e-05,6268.436832503164
5.551935914386209e-05,6260.573584099575
7.356422544596421e-05,6321.070796774901
9.747402255566064e-05,6272.715833770483
0.0001291549665014884,6374.664104241578
0.0001711328304161781,6357.246072614371
0.0002267543125870802,6394.78992863816
0.0003004538530204693,6430.673209524934
0.00039810717055349735,6488.752916009379
0.000630957344480193,6602.635613266386
0.0007943282347242813,6709.681203730206
0.001,6807.644396571818
0.0012589254117941675,6921.1438818086535
0.001584893192461114,7075.295377907403
0.001995262314968879,7225.653025805501
0.0025118864315095794,7391.106634794998
0.0031622776601683794,7566.519008270142
0.003981071705534973,7954.039219012416
0.005011872336272725,465568.9310193579
